cmc_rank,name,symbol,market_pair_count,circulating_supply,total_supply,max_supply,is_active,last_updated,date_added,price,volume_24h,market_cap,percent_change_1h,percent_change_24h,percent_change_7d,percent_change_30d,percent_change_60d,percent_change_90d,fully_dillutted_market_cap,market_cap_by_total_supply,dominance,ytd_price_change_percentage
1013,ShareToken,USD,15,2370272782.106575,6434460139.8,inf,True,2023-09-04 14:59:00+00:00,2019-11-26 00:00:00+00:00,0.0013863391381153,39007.75630137,3286001.925843952,-0.25541269,-1.90307694,-0.7554356,-2.81215988,-21.47373749,-24.6346361,8920343.92,8920343.924448043,0.0003,-2.2106
1019,Bitcoin Atom,USD,2,18418931.25,21000000.0,21000000.0,True,2023-09-04 14:59:00+00:00,2018-01-12 00:00:00+00:00,0.1749725287875355,0.0,3222806.978376264,-0.31206673,-0.02956268,-2.41202847,-50.91862002,-44.09739823,-48.70532578,3674423.1,3674423.104538247,0.0,415.9124
1020,BUX Token,USD,13,57904773.44943661,76384000.0,76384000.0,True,2023-09-04 14:59:00+00:00,2020-12-16 00:00:00+00:00,0.0555625410862083,8418.25785945,3217336.353871906,-0.22345117,3.99259789,-11.17520691,1.66632546,-16.74315075,-30.70868142,4244089.14,4244089.138328936,0.0003,-47.3881
1021,Uno Re,USD,10,78242153.0,382605499.0,384649206.0,True,2023-09-04 14:59:00+00:00,2021-03-18 00:00:00+00:00,0.0405974897689723,170721.68580117,3176435.005919868,1.73967293,-3.65473962,-5.87784254,-17.576225,-15.50460517,-25.79547121,15615792.21,15532822.831205051,0.0,4.3451
1023,DeHub,USD,7,4332712686.43222,4332712696.87026,8000000000.0,True,2023-09-04 14:59:00+00:00,2021-09-01 20:42:38+00:00,0.0007271786347019,18851.55517795,3150656.095875805,-0.0148059,3.70869072,1.24083451,-4.58688736,-14.11166755,-47.36054513,5817429.08,3150656.1034661247,0.0,-12.489
1024,Big Data Protocol,USD,22,50859856.08827953,64923252.85185185,80000000.0,True,2023-09-04 14:59:00+00:00,2021-03-07 00:00:00+00:00,0.0617937007773939,116793.24636349,3142818.728700465,-0.25771836,-2.79029723,-7.34150171,-24.94294508,-37.23968883,-49.34079542,4943496.06,4011848.060222424,0.0,241.5098
1025,Signum,USD,11,2130801392.0,2130801392.0,inf,True,2023-09-04 14:59:00+00:00,2021-07-06 00:00:00+00:00,0.0014726280668884,14518.10966542,3137877.934824272,2.4809022,7.99243469,9.98210586,3.92254912,29.4706411,14.30491449,3137877.93,3137877.934824272,0.0,-48.4223
1027,Dypius,USD,43,23649222.11750169,30000000.0,30000000.0,True,2023-09-04 14:59:00+00:00,2020-12-23 00:00:00+00:00,0.1309446576107777,248605.22096566,3096739.292937491,-0.25692149,-6.82373933,10.99726378,-11.03532802,-13.2954327,-29.08529936,3928339.73,3928339.728323333,0.0,-22.0621
1029,Sylo,USD,18,2431617492.0,10000000000.0,10000000000.0,True,2023-09-04 14:59:00+00:00,2020-06-05 00:00:00+00:00,0.0012641338240766,2250637.81638151,3073889.9188536904,1.23226044,-29.28785887,0.60759426,-6.35936924,-15.86763156,-23.97485199,12641338.24,12641338.240766736,0.0,-33.6552
1031,Thetan Arena,USD,46,113584953.66,420000000.0,420000000.0,True,2023-09-04 14:59:00+00:00,2021-09-16 17:25:22+00:00,0.0269353301729482,125430.48278069,3059448.229511123,-0.27184303,0.21416097,-1.40854218,-9.6061303,-13.54912301,-46.61644224,11312838.67,11312838.672638252,0.0,-47.5694
1033,TopGoal,USD,16,42500000.0,1000000000.0,1000000000.0,True,2023-09-04 14:59:00+00:00,2021-08-09 00:00:00+00:00,0.0714104896105676,26752.92740267,3034945.808449127,-0.23869455,-1.98105561,-9.53043445,18.38873059,0.8472495,-52.60991397,71410489.61,71410489.61056769,0.0,0.0
1035,Affyn,USD,24,254033788.0,1000000000.0,1000000000.0,True,2023-09-04 14:59:00+00:00,2022-01-10 08:05:26+00:00,0.0119097453742784,612551.57921607,3025477.731543432,-7.70756288,-14.67528529,-28.48293589,-42.47727909,-48.93297125,-62.94983737,11909745.37,11909745.374278449,0.0,-68.6057
1037,Skey Network,USD,6,181631354.0,1000000000.0,1000000000.0,True,2023-09-04 14:59:00+00:00,2020-12-29 00:00:00+00:00,0.0165625869745293,383809.15263642,3008285.0979265305,0.13447255,0.53532023,4.92863833,-2.26198687,15.617766,20.65900709,16562586.97,16562586.974529358,0.0,44.894
1038,Solanium,USD,21,100000000.0,100000000.0,100000000.0,True,2023-09-04 14:59:00+00:00,2021-05-12 00:00:00+00:00,0.0300061983549493,502708.74071961,3000619.835494934,-0.20711003,-0.13813166,0.35197129,-13.9232737,-10.16712566,-19.49111924,3000619.84,3000619.835494934,0.0,30.7068
1040,ChainGuardians,USD,62,61478209.0,120000000.0,120000000.0,True,2023-09-04 14:59:00+00:00,2021-03-02 00:00:00+00:00,0.0483140339499685,66382.95529124,2970260.276809262,-0.09159416,-1.74178413,-2.93076518,-15.90831895,-30.58570094,-34.90101452,5797684.07,5797684.073996226,0.0,-24.293
1041,GMCoin,USD,4,41183481.15,80000000.0,80000000.0,True,2023-09-04 14:59:00+00:00,2021-11-01 07:32:44+00:00,0.0716006969101842,1704940.1107398,2948765.9515274377,-0.13773646,-0.40515164,-1.90890392,-11.59230476,-14.57368387,-15.30907689,5728055.75,5728055.752814743,0.0,0.1722
1043,Mysterium,USD,30,20033628.0,32433365.0,32433365.0,True,2023-09-04 14:59:00+00:00,2017-06-14 00:00:00+00:00,0.1467212566258088,191068.89720847,2939359.07493399,1.10286096,2.21116802,-7.07994326,-1.16376606,-45.05562342,-44.13075708,4758664.07,4758664.069403527,0.0003,-45.0874
1044,Bridge Oracle,USD,33,8002167205.0,10000000000.0,10000000000.0,True,2023-09-04 14:59:00+00:00,2020-09-18 00:00:00+00:00,0.0003632912464741,207541.65847351,2907117.2983986246,0.02348573,3.58252008,-3.02337283,-16.52683893,-24.07231023,-36.47287587,3632912.46,3632912.464741012,0.0003,-31.093
1045,Ignis,USD,12,761143950.0,999449694.0,999449694.0,True,2023-09-04 14:59:00+00:00,2017-12-13 00:00:00+00:00,0.0038066456626579,3806.71824531,2897405.315925862,-0.0257671,-4.98190009,35.18514237,10.01675029,12.58973707,-6.56794852,3804550.84,3804550.842709945,0.0003,-36.0968
1046,Carrieverse,USD,6,71086615.0,1000000000.0,1000000000.0,True,2023-09-04 14:59:00+00:00,2023-01-31 08:55:13+00:00,0.040715152856721,561933.6565819,2894302.395791882,-2.0675811,18.2617581,33.1947521,16.04005356,11.35249919,-12.76636168,40715152.86,40715152.85672109,0.0,0.0
1047,LootBot,USD,6,8620590.26104148,10000000.0,10000000.0,True,2023-09-04 14:59:00+00:00,2023-07-17 12:27:55+00:00,0.3343336492485745,497426.46840343,2882153.40065072,-1.93066749,-14.73109697,-39.3414854,1.09842216,-0.39717229,-0.39717229,3343336.49,3343336.492485745,0.0,0.0
1049,AmonD,USD,1,7176499999.0,7176499999.0,inf,True,2023-09-04 14:59:00+00:00,2019-09-28 00:00:00+00:00,0.0004008236872521,230.15886438,2876511.191164064,-0.04594255,-0.0332048,14.58246289,-7.12822951,13.84827491,-20.16809292,2876511.19,2876511.191164064,0.0,32.3258
1050,Inverse Finance,USD,33,93725.63416095,245000.0,inf,True,2023-09-04 14:59:00+00:00,2021-03-08 00:00:00+00:00,30.54441044822143,74664.05557353,2862794.2393319006,0.01188388,-0.60608599,0.63235511,-16.62254947,-29.88745563,-18.28650746,7483380.56,7483380.55981425,0.0,-9.3495
1052,BOSagora,USD,9,311113394.0,461209254.0,inf,True,2023-09-04 14:59:00+00:00,2019-08-05 00:00:00+00:00,0.0090763052929392,79309.06387928,2823760.144666493,-3.47017114,-4.98146428,-8.56774981,-22.61745727,-31.96184168,-42.33379825,4186075.99,4186075.993232761,0.0003,-72.6691
1055,Omax Coin,USD,17,8667996990.0,9000000000.0,9000000000.0,True,2023-09-04 14:59:00+00:00,2021-11-05 05:32:20+00:00,0.0003201580852428,181061.57788195,2775129.319209102,-0.59822511,-1.33663789,-6.77844268,-9.06201234,-50.54253581,-77.68111293,2881422.77,2881422.767185562,0.0,-16.5076
1057,Minter Network,USD,12,7607102535.0,7812312102.0,10000000000.0,True,2023-09-04 14:59:00+00:00,2020-04-22 00:00:00+00:00,0.000360168065729,12.34681334,2739835.405833224,-0.20695926,0.92217431,2.05081255,38.06359071,50.01465002,36.87375497,3601680.66,2813745.338648702,0.0,-22.7052
1058,Bitgesell,USD,16,16157930.35674842,16414415.36674842,21000000.0,True,2023-09-04 14:59:00+00:00,2020-06-08 00:00:00+00:00,0.1690285785602264,12853.10552009,2731152.0006763176,0.45964161,-1.31774015,39.29501831,26.04063528,-1.53147261,-7.87968957,3549600.15,2774505.297338623,0.0,530.2044
1059,AXIS Token,USD,4,320303188.40289,1500000000.0,1500000000.0,True,2023-09-04 14:59:00+00:00,2021-03-17 00:00:00+00:00,0.0084567388877499,72.47038124,2708720.429237007,-0.17412107,0.59212092,71.48273948,-17.66870374,-24.88664644,-25.6031349,12685108.33,12685108.331624871,0.0,63.2069
1060,Reflexer Ungovernance Token,USD,17,193796.49489032,999715.0,1000000.0,True,2023-09-04 14:59:00+00:00,2021-04-29 00:00:00+00:00,13.942776712968268,1150541.67876757,2702061.256011628,-1.62298959,50.34369214,69.81671453,33.11226321,5.15546344,3.99396844,13942776.71,13938803.021605073,0.0,30.1749
1064,Infinity PAD,USD,13,999999990.0,999999990.0,999999990.0,True,2023-09-04 14:59:00+00:00,2021-09-20 17:03:19+00:00,0.0026929378088242,0.02669296,2692937.781894891,-0.03942148,-0.06002373,1.11302396,-14.91277454,-29.58785182,-32.96779972,2692937.78,2692937.781894891,0.0,-40.0443
1065,HyperCash,USD,17,45071909.329052,45071909.329052,84000000.0,True,2023-09-04 14:59:00+00:00,2017-08-20 00:00:00+00:00,0.0592726134632533,111739.43776905,2671529.859711701,-0.68763435,-8.39674416,-5.34944115,-1.27793866,4.91764477,3.3062183,4978899.53,2671529.859711701,0.0003,-25.1046
1066,STAT,USD,3,32661010.1176167,99955127.764706,100000000.0,True,2023-09-04 14:59:00+00:00,2022-07-27 14:53:36+00:00,0.0813614436107749,1548112.53703163,2657346.93295542,1.28594183,-12.61020732,5.59411878,18.53582206,-5.74226543,0.88638065,8136144.36,8132493.49123593,0.0,-78.7685
1068,Anchor Protocol,USD,68,350381852.323076,1000000000.0,1000000000.0,True,2023-09-04 14:59:00+00:00,2021-03-17 00:00:00+00:00,0.0075083343761034,145446.85035493,2630784.106560149,1.40792625,-3.79941564,1.19753379,-16.93550722,-27.81125708,-27.2923675,7508334.38,7508334.376103437,0.0003,-75.564
1072,Callisto Network,USD,18,3104773221.0,3104773221.0,6500000000.0,True,2023-09-04 14:59:00+00:00,2018-05-22 00:00:00+00:00,0.000831684408515,26539.80932194,2582191.4798807045,0.01439094,-7.62206773,-5.27443335,-14.89106399,-44.31077894,-38.62928747,5405948.66,2582191.4798807045,0.0,-71.9299
1073,Witch Token,USD,8,17262858.0,100000000.0,100000000.0,True,2023-09-04 14:59:00+00:00,2021-07-21 00:00:00+00:00,0.1493597172161261,1088118.30795355,2578375.5892221406,0.31556938,-6.85580642,4.18617976,-11.64780302,-9.32243093,7.41184867,14935971.72,14935971.721612612,0.0,-15.1521
1074,SALT,USD,8,119999995.19035298,120000000.0,inf,True,2023-09-04 14:59:00+00:00,2017-09-29 00:00:00+00:00,0.0213960366331012,19045.65415538,2567524.293064767,-0.40522183,5.92346839,0.7533827,-2.72741021,-10.69070303,-38.65537604,2567524.4,2567524.395972151,0.0002,-32.3728
1075,Dovu,USD,20,956157114.3446828,963761390.35,963761390.0,True,2023-09-04 14:59:00+00:00,2017-10-27 00:00:00+00:00,0.0026671547280385,11779.76924105,2550218.9682721305,-0.25492853,-3.88548746,-11.21095261,-29.66807332,-49.43013585,-54.09778599,2570500.75,2570500.7489730227,0.0002,37.3655
1076,PolkaBridge,USD,31,69193869.29965797,75193869.29965797,100000000.0,True,2023-09-04 14:59:00+00:00,2021-01-25 00:00:00+00:00,0.0365765346422538,507353.08904384,2530871.9574705265,-0.95550746,3.57560946,4.48515736,-7.0552078,-25.73647436,-18.16821784,3657653.46,2750331.16532405,0.0,-12.9783
1078,SafeMoon,USD,29,561965765208535.4,0.0,1000000000000000.0,True,2023-09-04 14:59:00+00:00,2021-03-09 00:00:00+00:00,4.471403949967798e-09,0.0,2512775.9423001213,0.0,0.0,-0.82282537,-10.39754746,-9.36787377,-22.29515736,4471403.95,0.0,0.0,-10.8973
1079,Wombat Exchange,USD,36,58529174.30671027,1000000000.0,1000000000.0,True,2023-09-04 14:59:00+00:00,2022-04-19 16:48:44+00:00,0.0426498295571143,105905.65784549,2496259.308299827,-0.02395136,1.18611227,-4.52970924,-13.03855859,-9.81362896,-36.8244727,42649829.56,42649829.5571143,0.0,-52.4523
1080,Polkamarkets,USD,16,97352569.61447787,100000000.0,100000000.0,True,2023-09-04 14:59:00+00:00,2021-02-24 00:00:00+00:00,0.0256156833677025,147595.44372701,2493752.598276685,-0.24324939,-0.82357544,-4.09023471,-15.26545573,-31.69707768,-24.35843283,2561568.34,2561568.336770255,0.0,-32.7784
1081,Litecoin Cash,USD,9,790835231.2084944,790835231.2084944,840000000.0,True,2023-09-04 14:59:00+00:00,2018-02-21 00:00:00+00:00,0.0031424008273698,35.41825323,2485121.2848627795,-0.72084981,-6.77013826,-6.01211468,0.12083287,1.2231643,15.03944886,2639616.69,2485121.2848627795,0.0002,6.9748
1082,GPEX,USD,3,7785806.0,1000000000.0,1000000000.0,True,2023-09-04 14:59:00+00:00,2022-01-13 11:56:17+00:00,0.3187797764051079,587.40213862,2481957.495813548,3.45757498,2.41378196,-2.44365479,23.86315469,4.29934331,17.17870661,318779776.41,318779776.4051079,0.0,12.7814
1083,Vesper,USD,24,9197837.72016838,10000000.0,10000000.0,True,2023-09-04 14:59:00+00:00,2021-02-17 00:00:00+00:00,0.2694021585474781,41774.68296231,2477917.3357827766,-0.25188797,-0.62947088,1.03332229,-14.57161915,-3.679792,-7.51558602,2694021.59,2694021.585474781,0.0,-12.2146
1086,Cipher,USD,41,6467585726.0,10800000000.0,10800000000.0,True,2023-09-04 14:59:00+00:00,2019-09-13 00:00:00+00:00,0.0003809173772054,187886.91139467,2463615.7915995363,1.71415927,1.13774425,11.97011041,-0.68696405,18.43772375,178.68873176,4113907.67,4113907.673819211,0.0002,1608.1871
1087,Dragonchain,USD,20,370772651.3625188,433494437.0,433494437.0,True,2023-09-04 14:59:00+00:00,2017-12-03 00:00:00+00:00,0.0066418654055893,21194.69287728,2462622.046423362,-1.15984784,-10.51444358,-7.58072966,-19.14500469,2.95685707,6.38654561,2879211.7,2879211.7046257406,0.0002,-43.2779
1088,K21,USD,9,18178659.48833,21000000.0,21000000.0,True,2023-09-04 14:59:00+00:00,2021-04-13 00:00:00+00:00,0.1345851132807411,19822.48090013,2446576.946528913,0.22120012,-10.60543097,-11.81826469,-29.35232289,-38.38747904,-50.65196862,2826287.38,2826287.3788955645,0.0,28.4397
1089,Robonomics.network,USD,26,1246123.99746106,8915498.10031768,inf,True,2023-09-04 14:59:00+00:00,2019-10-07 00:00:00+00:00,1.9555753140741572,10289.65100502,2436889.327710257,-0.25654339,-1.99897347,-4.13268886,-18.98049672,-28.73035125,-41.75796759,17434928.0,17434927.9976563,0.0,-16.6853
1091,UFC Fan Token,USD,2,2250064.0,20000000.0,20000000.0,True,2023-09-04 14:59:00+00:00,2021-09-01 07:00:15+00:00,1.0812088491191445,69745.02916782,2432789.1078844187,-0.67610411,4.02475729,10.60600399,0.57105192,3.67418596,-4.21765259,21624176.98,21624176.98238289,0.0,21.1574
1092,Abyss,USD,16,228674838.8491244,508628132.0410695,508628132.0,True,2023-09-04 14:59:00+00:00,2018-06-07 00:00:00+00:00,0.0106314034038264,53062.06161479,2431134.4601100534,-0.25549905,-4.2206483,-4.535084,-17.40628271,-15.34122627,-21.11907933,5407430.85,5407430.854263331,0.0002,-19.9603
1094,Adappter Token,USD,11,1875818231.0,4926475386.0,10000000000.0,True,2023-09-04 14:59:00+00:00,2020-12-17 00:00:00+00:00,0.0012876571689885,139530.19822569,2415410.7928666207,0.00629075,-1.88396331,-11.12097908,-34.07972765,-48.25920342,-60.16118825,12876571.69,6343611.348628667,0.0,-82.4809
1095,MonkeyLeague,USD,17,182625435.0,1000000000.0,1000000000.0,True,2023-09-04 14:59:00+00:00,2021-12-22 01:48:42+00:00,0.0131690956050571,53353.12465082,2405011.81343015,-0.01978196,-1.59217381,-3.05040533,-1.36213388,-63.56906149,-71.08344224,13169095.61,13169095.60505715,0.0,-68.3597
1096,Donut,USD,13,120355919.278521,120355919.278521,inf,True,2023-09-04 14:59:00+00:00,2020-08-04 00:00:00+00:00,0.0199040866102019,967.43161263,2395574.641370155,0.62157,-7.1019831,-35.80324575,886.86607809,2027.62798129,2027.31361848,2395574.64,2395574.641370155,0.0,2865.3275
1097,Onooks,USD,11,11221615.47874824,12000000.0,12000000.0,True,2023-09-04 14:59:00+00:00,2021-01-27 00:00:00+00:00,0.211775067990912,807.03850777,2376458.38097978,0.34660651,-0.02542068,-0.2937125,-20.8626817,-15.37238455,-11.75246818,2541300.82,2541300.815890945,0.0,6.2253
1099,Apollo Currency,USD,11,21165096531.0,21165096531.0,21158774009.0,True,2023-09-04 14:59:00+00:00,2018-07-28 00:00:00+00:00,0.0001118088043269,487419.08577856,2366444.136596642,-0.25124415,-5.07102095,-6.28286479,-23.10117192,-33.39043024,-72.08651039,2365737.22,2366444.136596642,0.0,-78.2652
1100,The Dons,USD,8,8150000000.0,10000000000.0,10000000000.0,True,2023-09-04 14:59:00+00:00,2023-05-12 14:07:08+00:00,0.0002901281723466,204285.00898155,2364544.604625355,0.04492041,4.54364175,-1.69590888,-15.6289221,-42.40065944,-30.42862723,2901281.72,2901281.7234666934,0.0,0.0
1102,Adora Token,USD,6,160000000.0,888714888.0,888714888.0,True,2023-09-04 14:59:00+00:00,2021-09-07 16:26:46+00:00,0.0147015331473922,0.0,2352245.303582756,-0.04594255,-0.0332048,0.00963095,0.05138367,-0.06335968,5.687783,13065471.38,13065471.384512966,0.0,-13.4937
1104,Ferrum Network,USD,31,65717427.9281375,167234716.101352,331718750.0,True,2023-09-04 14:59:00+00:00,2019-08-08 00:00:00+00:00,0.0356345149944216,179329.06143825,2341808.6709000403,-0.16847151,-3.5457188,-4.86004115,-6.24687695,6.94855771,0.09925695,11820636.77,5959327.998501477,0.0,32.6887
1105,MongolNFT Coin,USD,5,153370020888.0,269242582161.0,400000000000.0,True,2023-09-04 14:59:00+00:00,2022-01-21 10:22:08+00:00,1.506924282640139e-05,262128.09367862,2311170.087051525,-1.07578843,-3.0806608,-10.02695122,-13.98980241,-20.37976978,-22.52155202,6027697.13,4057281.849791436,0.0,29.5008
1106,Dfyn Network,USD,74,152653965.5378,198284457.0,250000000.0,True,2023-09-04 14:59:00+00:00,2021-04-30 00:00:00+00:00,0.0150102755279907,94164.88717789,2291378.0831627846,-0.11561114,-0.29508058,-2.71590349,-29.36100628,-40.59261021,-53.14759836,3752568.88,2976304.3324880367,0.0,-32.0521
1107,Fenerbahçe Token,USD,6,2180000.0,28630000.0,190700000.0,True,2023-09-04 14:59:00+00:00,2021-08-19 00:00:00+00:00,1.0507338619350193,4866864.96808046,2290599.819018342,0.67364952,-1.71316803,-5.39132868,-3.85860437,14.58406737,6.11801744,200374947.47,30082510.4671996,0.0,-39.6546
1110,RigoBlock,USD,6,2701063.1199086,7008053.0,inf,True,2023-09-04 14:59:00+00:00,2020-07-22 00:00:00+00:00,0.8387241541247039,227.58651742,2265446.880482774,-0.30629413,-3.73091541,28.04517756,705.07127715,-68.34958968,-39.09241821,5877823.32,5877823.324486094,0.0,1067.8516
1111,ACA Token,USD,5,53616839.97005867,100000000.0,100000000.0,True,2023-09-04 14:59:00+00:00,2021-11-01 06:57:00+00:00,0.0421715188690304,229899.17108011,2261103.578495117,0.2648078,-2.73394827,-6.0338947,-26.87070719,26296.10727201,31449.74737973,4217151.89,4217151.886903048,0.0,16739.4997
1112,Aimedis (new),USD,10,333000000.0,588000000.0,600000000.0,True,2023-09-04 14:59:00+00:00,2023-02-28 05:29:24+00:00,0.006771731007863,2806.57589711,2254986.425618408,0.02096671,1.51597477,-26.71570482,-16.50361054,-5.24999165,-6.23939514,4063038.6,3981777.832623495,0.0,0.0
1114,Kylin,USD,24,270259840.0,1000000000.0,1000000000.0,True,2023-09-04 14:59:00+00:00,2021-03-06 00:00:00+00:00,0.0082555675593993,0.0,2231148.367712465,-0.1393771,-0.20804706,-0.58250416,-5.47834275,-1.29672722,3.55462645,8255567.56,8255567.559399374,0.0,-32.9628
1115,saffron.finance,USD,16,91316.91180557,92122.50184922,100000.0,True,2023-09-04 14:59:00+00:00,2020-11-09 00:00:00+00:00,24.184344727419187,21002.86133003,2208439.67454924,-0.24251139,0.46339657,-4.01129103,-17.68901099,-39.18683305,-17.38990096,2418434.47,2227922.341873848,0.0002,-27.0741
1116,Landshare,USD,19,3886510.442,3911083.87174036,10000000.0,True,2023-09-04 14:59:00+00:00,2021-08-13 00:00:00+00:00,0.567171140403421,31411.2050724,2204316.559578944,-0.22061478,3.32271849,-7.62604463,-13.52372404,-12.37840726,-23.5325652,5671711.4,2218253.899748408,0.0,9.5006
1117,ROOBEE,USD,20,4102063740.4038,5400000000.0,5400000000.0,True,2023-09-04 14:59:00+00:00,2019-10-17 00:00:00+00:00,0.0005347283979039,469083.58208997,2193489.972006025,-0.21244035,-0.02937371,-10.2049222,-19.86996455,-23.63241346,-26.2878291,2887533.35,2887533.348681351,0.0002,49.3673
1118,Blockchain Brawlers,USD,14,1000000000.0,1000000000.0,inf,True,2023-09-04 14:59:00+00:00,2022-03-30 14:06:07+00:00,0.0021801152589285,25857.13132753,2180115.258928524,-0.20753093,-0.11833966,12.53042443,2.63328083,8.67760336,21.70032197,2180115.26,2180115.258928524,0.0,11.1716
1119,PUBLISH,USD,7,2033332889.0,10000000000.0,10000000000.0,True,2023-09-04 14:59:00+00:00,2019-09-17 00:00:00+00:00,0.0010672320934671,29602.65135592,2170038.115843167,11.22843116,-2.84501303,-4.35062608,-34.99030758,-74.60460477,-69.53113194,10672320.93,10672320.934671938,0.0,-93.3362
1120,Jobchain,USD,7,9864586780.847555,100000000000.0,100000000000.0,True,2023-09-04 14:59:00+00:00,2019-12-23 00:00:00+00:00,0.0002199032698141,404.97517877,2169254.888473664,-0.04594255,-2.61909394,-6.15630907,-13.95780908,-37.57202527,-13.80161137,21990326.98,21990326.98141344,0.0,-12.3444
1121,Umbrella Network,USD,24,292962636.0,332401437.0,447532308.0,True,2023-09-04 14:59:00+00:00,2021-02-09 00:00:00+00:00,0.0074028575711084,40175.33420591,2168760.667964484,-0.36690839,-1.10676039,-3.47061238,-19.14353205,-15.43674443,-16.30344346,3313017.93,2460720.494542773,0.0,-7.0107
1124,Xend Finance,USD,20,117235349.4373,197800000.0,200000000.0,True,2023-09-04 14:59:00+00:00,2021-02-19 00:00:00+00:00,0.0183253703272962,55345.85099938,2148381.193888504,-0.20196715,-1.82123918,1.41151751,-9.44854577,-11.2350141,-27.07715078,3665074.07,3624758.250739197,0.0,-9.8176
1125,MOVEZ,USD,31,511594527.0552508,5000000000.0,5000000000.0,True,2023-09-04 14:59:00+00:00,2022-06-09 17:19:07+00:00,0.0041772588337026,2719549.39594319,2137062.757415497,-0.09510943,0.23271634,-9.24392989,298.83253377,284.1396297,194.70747091,20886294.17,20886294.16851346,0.0,59.5782
1126,Position Exchange,USD,30,80050203.07047729,91800000.0,100000000.0,True,2023-09-04 14:59:00+00:00,2021-08-12 00:00:00+00:00,0.026466854879513,17224.06778384,2118677.107741873,0.26944817,1.7736577,-4.06782708,24.3706596,18.75140076,15.62257594,2646685.49,2429657.277939298,0.0,-69.68
1129,CumRocket,USD,20,1320428308.6200805,1320428308.6200805,10000000000.0,True,2023-09-04 14:59:00+00:00,2021-04-13 00:00:00+00:00,0.0015768655329207,6031.22201105,2082137.888555896,-0.14744462,-0.24791685,-4.98874962,-19.74912492,-8.97608435,-7.65971078,15768655.33,2082137.888555896,0.0,-26.3063
1130,Calamari Network,USD,7,2855618728.0,10000000000.0,inf,True,2023-09-04 14:59:00+00:00,2021-11-29 12:11:37+00:00,0.0007255015174681,109984.82628402,2071755.7204744776,-0.44060412,1.38045011,-2.29093688,-24.36229982,-41.12610422,-62.60114586,7255015.17,7255015.174681533,0.0,-61.0385
1134,Geeq,USD,12,38522222.0,100000000.0,100000000.0,True,2023-09-04 14:59:00+00:00,2020-08-04 00:00:00+00:00,0.0526381722532766,215151.29863546,2027739.357214962,-0.25623654,5.74482539,-15.64970741,-0.05423383,-11.60599621,-27.57417774,5263817.23,5263817.225327662,0.0,-37.2983
1135,Prism,USD,10,577152438.0,10000000000.0,10000000000.0,True,2023-09-04 14:59:00+00:00,2021-12-23 01:58:10+00:00,0.0035084978088959,17069.07931863,2024938.0641219344,-0.5324718,0.97366475,0.70782363,5.68017191,-1.30069762,-8.87882333,35084978.09,35084978.088959135,0.0,-16.932
1137,Cirus Foundation,USD,19,62590209.0,250000000.0,250000000.0,True,2023-09-04 14:59:00+00:00,2021-09-02 15:29:40+00:00,0.0322323414773151,330890.65171012,2017428.9896245208,0.1342348,-1.91715298,3.75770112,-6.33903426,-4.12827427,-1.63427533,8058085.37,8058085.369328775,0.0,-66.1138
1138,Skeb Coin,USD,8,1153490031.0,10000000000.0,10000000000.0,True,2023-09-04 14:59:00+00:00,2022-09-05 08:00:49+00:00,0.0017486121097405,179072.21776766,2017006.6366715587,-0.02763611,-10.78654904,-16.43052762,0.19127979,84.3028984,187.37686779,17486121.1,17486121.09740512,0.0,-60.1248
1143,Klaydice,USD,3,134394317.0,999999999.0,1000000000.0,True,2023-09-04 14:59:00+00:00,2022-08-03 04:08:38+00:00,0.0143735212620217,31097.98982716,1931719.5728943932,0.51216018,2.12442851,7.41960372,-11.78794397,-37.63399353,-43.45387259,14373521.26,14373521.247648248,0.0,-51.5375
1147,Oxbull.tech,USD,7,7252784.9,9766060.0,10000000.0,True,2023-09-04 14:59:00+00:00,2021-03-02 00:00:00+00:00,0.2642637417795063,1051.54934788,1916648.0759959023,0.06939053,1.73177454,-5.63760349,-18.10396797,-21.86590339,-44.86786239,2642637.42,2580815.558043165,0.0,-19.6477
1149,OneLedger,USD,8,506936796.9824598,1000000000.0,1000000000.0,True,2023-09-04 14:59:00+00:00,2018-07-12 00:00:00+00:00,0.0037606588232121,206647.32752953,1906416.3383829747,-0.56600993,-3.17869333,-9.88609316,-3.25381896,-25.11448678,-16.64586073,3760658.82,3760658.823212112,0.0002,22.1605
1152,SENATE,USD,8,74426181.57602963,295669301.038217,300000000.0,True,2023-09-04 14:59:00+00:00,2021-12-15 15:15:04+00:00,0.0254475867574673,14099.44776909,1893966.712683034,-0.25649076,1.22528529,-5.91637335,-17.00656472,-22.80481124,-27.38915719,7634276.03,7524070.189689766,0.0,4.4597
1154,Flamengo Fan Token,USD,10,3639026.0,30000000.0,30000000.0,True,2023-09-04 14:59:00+00:00,2021-10-26 13:41:45+00:00,0.5199014250583388,110379.13181778,1891934.8032243464,-0.65421036,-1.00270765,6.32592822,6.35070819,31.35714262,14.133927,15597042.75,15597042.751750164,0.0,-11.9001
1155,Ziktalk,USD,8,455257321.0,1000000000.0,1000000000.0,True,2023-09-04 14:59:00+00:00,2020-08-06 00:00:00+00:00,0.0041299205047934,1721.16308982,1880176.5449552312,-0.40393133,-7.90956826,8.82656039,101.9300668,6.10794509,-14.5310991,4129920.5,4129920.5047934446,0.0,-3.9257
